100 2430
5 32 6
5 36 0
5 37 5
5 39 5
5 40 4
5 41 5
5 43 9
5 44 7
5 45 6
5 47 8
5 48 0
5 49 9
5 57 2
5 58 8
5 63 7
5 64 0
5 68 7
5 71 9
5 76 8
5 78 2
5 79 5
5 80 7
5 81 7
5 82 7
5 84 7
5 85 8
5 86 5
5 87 3
5 88 7
5 90 9
5 92 5
5 97 4
6 8 5
6 9 8
6 11 3
6 12 9
6 14 5
6 16 3
6 17 2
6 18 4
6 20 0
6 22 4
6 23 3
6 24 3
6 25 6
6 26 6
6 30 0
6 33 3
6 35 1
6 37 1
6 38 7
6 40 8
6 41 4
6 44 6
6 47 4
6 48 5
6 49 9
6 50 0
6 52 6
6 53 7
6 55 4
6 56 3
6 57 8
6 59 9
6 60 0
6 63 4
6 67 4
6 68 6
6 69 5
6 70 4
6 71 2
6 72 7
6 77 2
6 86 0
6 87 1
6 91 0
6 93 5
6 98 4
6 99 2
7 8 0
7 9 4
7 15 7
7 16 2
7 22 0
7 24 2
7 28 6
7 31 8
7 32 5
7 34 7
7 35 7
7 36 9
7 40 8
7 41 7
7 45 4
7 46 4
7 47 6
7 50 7
7 51 2
7 53 5
7 54 6
7 55 6
7 57 2
7 60 6
7 62 7
7 63 5
7 64 7
7 67 3
7 68 5
7 70 8
7 71 1
7 73 4
7 74 6
7 75 6
7 77 2
7 78 2
7 80 0
7 81 7
7 83 7
7 84 8
7 85 5
7 86 4
7 87 3
7 90 0
7 92 5
7 94 2
7 95 4
7 96 0
7 97 4
7 99 5
7 100 9
8 9 4
8 10 9
8 11 7
8 13 0
8 14 7
8 15 3
8 18 1
8 19 2
8 20 8
8 21 3
8 22 4
8 23 5
8 25 3
8 26 3
8 27 9
8 29 1
8 30 1
8 31 6
8 33 6
8 34 3
8 35 7
8 36 6
8 37 9
8 38 0
8 42 1
8 43 1
8 48 4
8 50 5
8 51 8
8 54 8
8 55 7
8 57 2
8 58 8
8 59 6
8 68 8
8 69 4
8 70 0
8 71 1
8 72 9
8 73 5
8 74 7
8 76 3
8 78 3
8 79 2
8 80 3
8 82 6
8 84 6
8 86 9
8 88 4
8 92 4
8 94 0
8 97 6
8 98 4
9 12 0
9 14 0
9 16 6
9 17 7
9 18 3
9 20 7
9 22 6
9 23 8
9 24 5
9 27 1
9 29 7
9 30 2
9 31 0
9 37 3
9 38 7
9 43 8
9 46 4
9 51 4
9 52 8
9 53 6
9 56 2
9 57 4
9 60 0
9 62 5
9 64 2
9 67 7
9 68 6
9 71 4
9 73 0
9 74 9
9 77 5
9 79 2
9 84 7
9 86 8
9 92 0
9 94 1
9 95 5
9 97 7
10 13 0
10 16 0
10 17 6
10 20 0
10 21 8
10 23 4
10 24 9
10 27 1
10 29 7
10 30 7
10 32 6
10 35 3
10 36 8
10 37 3
10 42 5
10 43 0
10 45 9
10 46 4
10 47 5
10 51 3
10 53 8
10 55 3
10 56 5
10 57 1
10 58 9
10 64 7
10 65 1
10 66 1
10 67 3
10 68 1
10 69 2
10 70 9
10 71 5
10 75 7
10 76 3
10 77 9
10 79 9
10 87 7
10 88 5
10 89 8
10 90 9
10 92 9
10 94 9
10 95 8
10 97 9
11 12 5
11 15 0
11 21 1
11 22 8
11 24 1
11 25 2
11 27 9
11 33 2
11 35 6
11 37 1
11 39 1
11 43 3
11 44 5
11 45 0
11 47 5
11 49 8
11 50 6
11 52 1
11 53 2
11 55 7
11 56 8
11 64 7
11 65 6
11 67 4
11 69 7
11 70 2
11 72 0
11 75 8
11 77 7
11 79 3
11 81 3
11 82 4
11 83 3
11 84 0
11 85 0
11 88 1
11 91 7
11 96 1
11 98 2
11 99 0
12 17 1
12 18 6
12 19 7
12 21 8
12 22 4
12 23 6
12 25 4
12 26 2
12 27 7
12 28 3
12 29 2
12 31 1
12 37 7
12 38 2
12 42 1
12 44 7
12 45 3
12 46 7
12 47 7
12 49 3
12 51 2
12 53 5
12 55 0
12 57 3
12 58 3
12 65 4
12 66 9
12 67 2
12 68 6
12 71 5
12 76 5
12 77 5
12 78 0
12 80 7
12 81 2
12 83 1
12 84 7
12 85 4
12 88 3
12 89 6
12 90 9
12 93 8
12 94 9
12 95 5
12 100 0
13 14 2
13 18 0
13 20 4
13 21 9
13 22 9
13 23 1
13 24 6
13 28 9
13 29 1
13 30 8
13 31 9
13 32 1
13 33 2
13 34 8
13 36 0
13 38 7
13 40 2
13 49 1
13 50 0
13 53 2
13 58 8
13 59 8
13 60 2
13 61 5
13 65 2
13 67 2
13 68 4
13 73 7
13 74 9
13 75 3
13 76 4
13 77 6
13 78 6
13 79 4
13 80 3
13 85 7
13 87 3
13 89 1
13 91 8
13 92 8
13 96 3
13 97 7
13 98 5
13 100 6
14 15 5
14 17 4
14 18 0
14 20 8
14 23 7
14 24 3
14 26 5
14 27 6
14 30 5
14 33 1
14 35 5
14 36 8
14 37 4
14 39 6
14 40 3
14 41 4
14 42 6
14 43 4
14 44 2
14 45 2
14 46 0
14 49 1
14 52 1
14 54 7
14 58 9
14 59 5
14 64 0
14 65 9
14 66 1
14 67 0
14 68 3
14 69 7
14 70 1
14 80 1
14 81 8
14 83 7
14 85 5
14 86 2
14 87 6
14 91 9
14 92 8
14 93 8
14 94 0
14 98 2
15 17 1
15 19 2
15 22 4
15 23 6
15 29 6
15 31 9
15 35 3
15 38 1
15 39 8
15 41 4
15 44 1
15 45 7
15 48 0
15 49 5
15 50 9
15 52 3
15 53 3
15 54 1
15 56 6
15 58 5
15 63 8
15 64 7
15 65 0
15 66 1
15 67 6
15 68 3
15 69 3
15 71 7
15 72 1
15 73 0
15 75 9
15 76 7
15 81 6
15 83 0
15 88 2
15 90 6
15 92 0
15 94 4
15 95 1
15 97 1
15 98 3
15 99 9
15 100 8
16 18 4
16 21 4
16 22 1
16 24 2
16 25 6
16 27 4
16 32 8
16 35 2
16 36 7
16 39 8
16 40 5
16 42 2
16 46 0
16 48 5
16 49 4
16 50 5
16 51 9
16 52 7
16 57 8
16 61 9
16 62 1
16 63 3
16 64 4
16 69 6
16 70 8
16 71 4
16 73 4
16 74 1
16 75 1
16 76 0
16 78 4
16 81 0
16 86 4
16 88 9
16 90 1
16 92 4
16 94 6
16 95 6
16 96 0
16 98 9
17 18 2
17 23 3
17 24 9
17 25 8
17 30 8
17 31 2
17 32 3
17 33 1
17 34 6
17 36 6
17 38 1
17 39 3
17 40 8
17 43 8
17 44 4
17 45 9
17 47 7
17 49 2
17 50 9
17 51 5
17 60 7
17 64 0
17 65 8
17 69 3
17 70 0
17 72 2
17 75 6
17 77 4
17 78 7
17 79 4
17 80 1
17 81 3
17 82 5
17 86 1
17 87 1
17 89 4
17 90 3
17 92 3
17 94 0
17 95 0
17 98 1
18 22 3
18 25 3
18 30 3
18 32 0
18 36 7
18 37 7
18 38 8
18 39 3
18 44 9
18 47 5
18 50 3
18 52 5
18 53 1
18 55 0
18 61 9
18 62 5
18 65 5
18 67 8
18 72 2
18 74 8
18 75 4
18 76 7
18 78 3
18 79 8
18 80 4
18 81 1
18 88 5
18 90 3
18 91 9
18 92 3
18 93 1
18 94 1
18 96 4
18 100 4
19 20 8
19 21 6
19 23 5
19 24 0
19 25 9
19 26 5
19 28 6
19 29 7
19 31 2
19 32 5
19 34 6
19 35 9
19 38 3
19 39 1
19 40 1
19 42 7
19 43 1
19 44 8
19 48 0
19 50 5
19 51 8
19 53 6
19 54 3
19 55 4
19 57 7
19 59 3
19 64 6
19 65 9
19 67 3
19 70 1
19 78 7
19 80 8
19 81 1
19 84 2
19 85 7
19 86 1
19 88 7
19 89 3
19 90 9
19 91 9
19 92 0
19 95 5
19 96 2
19 97 5
19 98 2
20 21 9
20 23 7
20 24 0
20 25 2
20 26 4
20 27 8
20 29 1
20 30 3
20 31 6
20 32 7
20 33 5
20 34 1
20 36 1
20 37 2
20 38 6
20 39 8
20 40 2
20 43 7
20 46 9
20 49 6
20 51 4
20 53 2
20 54 9
20 56 3
20 58 4
20 60 5
20 63 8
20 64 1
20 68 2
20 71 8
20 77 3
20 82 1
20 84 0
20 86 6
20 89 1
20 91 3
20 92 1
20 93 4
20 94 9
20 95 1
20 99 7
20 100 1
21 22 9
21 30 7
21 33 6
21 34 2
21 38 3
21 40 7
21 41 1
21 43 6
21 45 1
21 47 3
21 48 3
21 49 2
21 51 4
21 52 7
21 54 8
21 55 8
21 56 3
21 58 9
21 59 2
21 60 1
21 63 4
21 64 9
21 68 7
21 69 6
21 75 6
21 78 1
21 79 0
21 80 2
21 82 5
21 88 2
21 89 3
21 90 7
21 91 6
21 93 3
21 96 9
21 98 2
21 99 9
21 100 9
22 23 8
22 27 5
22 28 2
22 33 4
22 36 8
22 37 9
22 39 1
22 40 1
22 41 7
22 43 4
22 44 4
22 46 3
22 47 0
22 48 3
22 51 6
22 55 4
22 57 3
22 60 8
22 63 3
22 67 9
22 69 7
22 70 9
22 71 1
22 72 7
22 74 0
22 75 7
22 77 6
22 79 4
22 80 6
22 81 0
22 82 6
22 84 2
22 89 4
22 93 9
22 95 2
22 97 7
22 99 9
23 25 4
23 26 7
23 27 1
23 31 9
23 35 3
23 40 8
23 41 5
23 42 5
23 45 7
23 47 1
23 51 6
23 54 2
23 56 4
23 58 2
23 59 2
23 60 4
23 64 4
23 66 7
23 67 5
23 73 4
23 74 1
23 75 3
23 76 7
23 78 9
23 81 1
23 82 3
23 88 4
23 93 8
23 94 5
23 95 6
23 97 2
23 98 7
23 99 1
24 25 2
24 26 2
24 27 2
24 31 0
24 32 7
24 34 7
24 37 3
24 38 3
24 41 2
24 42 4
24 43 0
24 45 9
24 46 6
24 47 0
24 48 5
24 49 5
24 50 0
24 53 3
24 54 3
24 58 1
24 65 2
24 66 5
24 67 1
24 69 7
24 71 5
24 72 7
24 74 5
24 75 7
24 76 6
24 78 9
24 81 0
24 87 7
24 89 9
24 91 9
24 94 4
24 97 2
24 99 8
25 26 4
25 30 6
25 33 9
25 38 8
25 41 0
25 42 8
25 49 5
25 53 8
25 54 2
25 57 6
25 58 2
25 61 7
25 62 8
25 63 9
25 64 5
25 68 9
25 70 2
25 71 1
25 73 1
25 75 3
25 76 8
25 77 5
25 81 8
25 83 6
25 86 1
25 87 3
25 88 8
25 90 6
25 95 6
25 96 4
25 97 9
25 98 4
25 100 7
26 29 1
26 32 2
26 35 6
26 36 4
26 37 1
26 39 5
26 40 2
26 42 8
26 44 3
26 45 7
26 48 3
26 51 8
26 54 0
26 55 6
26 57 0
26 58 2
26 59 7
26 60 1
26 62 7
26 63 1
26 64 0
26 65 2
26 66 1
26 70 6
26 71 8
26 72 1
26 73 3
26 77 6
26 80 1
26 82 5
26 87 0
26 88 4
26 89 4
26 91 8
26 92 2
26 93 4
26 94 1
26 95 4
26 96 8
26 100 0
27 28 0
27 29 8
27 30 5
27 34 3
27 39 9
27 43 4
27 44 1
27 47 6
27 48 0
27 50 4
27 52 8
27 53 2
27 54 4
27 62 8
27 63 4
27 64 8
27 65 3
27 66 7
27 67 3
27 68 3
27 69 7
27 70 2
27 71 5
27 72 4
27 76 5
27 77 1
27 81 1
27 82 0
27 86 8
27 90 3
27 92 1
27 93 9
27 95 5
27 96 9
27 97 2
27 99 3
28 31 9
28 34 6
28 40 0
28 43 4
28 44 9
28 45 3
28 48 3
28 49 6
28 50 8
28 51 5
28 52 7
28 58 7
28 59 0
28 60 6
28 61 1
28 63 4
28 64 8
28 66 8
28 67 3
28 68 1
28 69 3
28 70 1
28 71 2
28 74 6
28 75 5
28 79 5
28 81 9
28 82 3
28 83 2
28 84 4
28 85 2
28 87 4
28 93 7
28 94 6
28 96 4
28 98 7
29 31 6
29 33 9
29 34 6
29 37 0
29 38 2
29 40 8
29 41 5
29 43 2
29 45 6
29 46 9
29 47 2
29 48 7
29 50 8
29 51 8
29 52 7
29 54 7
29 55 9
29 57 5
29 61 5
29 62 2
29 64 2
29 65 8
29 66 7
29 67 2
29 73 4
29 74 8
29 75 4
29 79 6
29 83 5
29 87 5
29 92 8
29 93 3
29 97 6
29 99 3
29 100 7
30 32 4
30 33 0
30 35 7
30 36 5
30 38 3
30 40 7
30 45 6
30 47 8
30 48 3
30 50 3
30 51 2
30 52 4
30 54 8
30 55 8
30 58 3
30 64 7
30 66 0
30 68 5
30 70 5
30 72 0
30 74 0
30 80 7
30 81 7
30 82 4
30 83 2
30 87 0
30 88 5
30 90 4
30 91 1
30 93 6
30 96 9
30 97 6
30 99 9
31 35 8
31 36 8
31 39 3
31 40 9
31 41 5
31 42 2
31 43 0
31 45 7
31 47 2
31 49 9
31 50 4
31 54 9
31 55 9
31 56 7
31 57 3
31 58 1
31 61 2
31 63 0
31 64 1
31 68 2
31 78 9
31 80 0
31 82 6
31 84 8
31 88 2
31 89 4
31 92 6
31 94 8
31 95 4
31 97 8
31 100 2
32 34 7
32 35 4
32 37 1
32 38 4
32 41 3
32 42 4
32 43 1
32 44 3
32 45 7
32 48 3
32 50 3
32 52 1
32 54 6
32 56 0
32 57 8
32 58 6
32 60 2
32 62 9
32 67 3
32 69 6
32 71 0
32 74 4
32 75 7
32 77 2
32 78 1
32 82 4
32 85 4
32 86 3
32 87 4
32 88 4
32 89 9
32 94 2
32 95 2
33 34 6
33 35 3
33 36 8
33 39 1
33 40 1
33 43 3
33 44 0
33 46 2
33 52 3
33 53 0
33 54 6
33 55 1
33 56 0
33 58 1
33 62 8
33 63 9
33 64 3
33 65 6
33 66 1
33 67 0
33 68 5
33 69 8
33 71 3
33 74 1
33 79 7
33 80 9
33 87 2
33 88 7
33 94 9
33 95 4
33 96 1
33 99 6
34 36 0
34 37 6
34 38 4
34 40 4
34 42 9
34 43 7
34 44 2
34 45 0
34 52 6
34 53 6
34 54 7
34 55 6
34 56 1
34 60 9
34 61 5
34 63 5
34 64 0
34 66 4
34 67 1
34 72 6
34 73 6
34 74 6
34 77 9
34 79 7
34 83 4
34 84 5
34 86 8
34 87 2
34 89 1
34 90 8
34 93 8
34 96 1
34 97 1
34 98 4
34 100 9
35 36 4
35 37 8
35 38 0
35 39 0
35 40 6
35 43 4
35 45 6
35 46 6
35 47 8
35 51 6
35 52 6
35 53 2
35 57 7
35 63 4
35 64 1
35 65 5
35 67 6
35 71 1
35 77 3
35 79 2
35 80 9
35 81 8
35 82 9
35 86 8
35 87 3
35 88 9
35 89 5
35 92 0
35 95 0
35 100 7
36 39 0
36 43 4
36 45 1
36 46 7
36 49 1
36 52 9
36 53 3
36 55 2
36 59 4
36 60 1
36 61 0
36 64 9
36 65 3
36 66 8
36 67 0
36 73 8
36 75 5
36 78 9
36 84 1
36 86 9
36 88 7
36 93 6
36 94 1
36 97 9
36 98 5
37 39 9
37 46 4
37 47 8
37 48 5
37 49 3
37 51 8
37 52 9
37 54 1
37 58 8
37 59 1
37 64 2
37 65 3
37 67 3
37 73 0
37 75 1
37 83 6
37 84 6
37 86 8
37 87 8
37 90 7
37 92 1
37 93 9
37 94 5
37 95 0
37 96 3
37 97 1
38 41 6
38 42 5
38 45 1
38 47 5
38 49 1
38 50 7
38 52 9
38 53 7
38 55 9
38 57 0
38 61 1
38 63 2
38 64 2
38 65 5
38 68 1
38 69 9
38 71 5
38 72 8
38 74 7
38 76 5
38 78 5
38 81 0
38 83 3
38 84 0
38 88 4
38 90 4
38 92 4
38 93 6
38 94 8
38 97 8
38 100 5
39 41 5
39 43 2
39 44 8
39 45 9
39 46 0
39 49 0
39 50 9
39 51 6
39 52 1
39 53 2
39 54 2
39 58 3
39 59 2
39 60 4
39 61 2
39 62 6
39 63 7
39 64 7
39 66 3
39 70 6
39 71 4
39 72 6
39 74 4
39 76 9
39 79 6
39 80 0
39 82 6
39 83 1
39 86 1
39 88 1
39 91 8
39 93 3
39 95 6
39 97 8
39 100 1
40 42 5
40 44 8
40 46 8
40 47 0
40 48 4
40 51 4
40 53 9
40 54 7
40 55 4
40 56 5
40 57 7
40 58 0
40 59 8
40 61 8
40 62 9
40 64 3
40 65 0
40 66 4
40 68 7
40 71 9
40 73 1
40 74 8
40 76 1
40 82 2
40 83 8
40 85 1
40 88 3
40 90 4
40 91 0
40 94 0
40 96 6
40 99 0
41 42 1
41 44 7
41 46 7
41 47 6
41 49 5
41 50 9
41 52 6
41 53 0
41 56 7
41 59 5
41 62 2
41 63 2
41 65 7
41 67 3
41 68 6
41 69 7
41 73 5
41 75 2
41 77 8
41 79 0
41 81 1
41 88 5
41 90 6
41 93 1
41 97 7
41 99 0
41 100 0
42 43 6
42 44 1
42 45 2
42 46 7
42 47 9
42 48 8
42 51 6
42 52 2
42 55 4
42 56 6
42 59 2
42 60 8
42 63 8
42 65 0
42 67 0
42 70 4
42 71 4
42 72 4
42 74 2
42 76 0
42 78 2
42 79 3
42 81 3
42 82 5
42 83 6
42 89 1
42 93 4
42 96 4
42 97 4
42 98 4
43 45 1
43 48 4
43 49 9
43 50 1
43 53 2
43 58 8
43 60 3
43 61 3
43 65 0
43 67 7
43 68 7
43 69 7
43 74 4
43 77 9
43 82 9
43 83 9
43 84 3
43 85 6
43 86 5
43 87 6
43 88 8
43 89 6
43 91 4
43 93 1
43 94 7
43 95 2
43 97 0
43 99 2
43 100 4
44 45 9
44 52 3
44 54 9
44 56 2
44 59 8
44 60 8
44 61 0
44 62 6
44 63 1
44 65 1
44 66 4
44 67 3
44 68 6
44 73 7
44 74 0
44 77 1
44 79 3
44 81 8
44 84 9
44 85 5
44 87 8
44 92 8
44 95 8
44 98 2
44 99 6
44 100 5
45 50 2
45 51 0
45 54 2
45 57 7
45 62 0
45 65 5
45 66 4
45 67 6
45 69 6
45 71 6
45 73 7
45 77 4
45 78 4
45 79 7
45 83 3
45 85 2
45 86 8
45 88 7
45 89 3
45 91 2
45 94 3
45 98 2
46 47 6
46 51 2
46 53 5
46 54 7
46 57 9
46 60 4
46 62 8
46 66 5
46 67 7
46 69 4
46 74 9
46 76 2
46 78 6
46 79 5
46 82 3
46 83 1
46 86 4
46 90 0
46 96 3
46 97 6
47 50 8
47 52 0
47 54 0
47 55 6
47 61 3
47 62 6
47 68 2
47 69 1
47 70 3
47 71 3
47 72 1
47 74 2
47 76 6
47 77 6
47 79 3
47 80 1
47 81 8
47 83 4
47 90 6
47 91 2
47 92 8
47 93 1
47 94 9
47 95 3
47 96 6
47 97 7
47 98 8
47 100 8
48 49 6
48 50 1
48 51 8
48 52 8
48 56 1
48 58 0
48 60 3
48 64 4
48 65 2
48 72 1
48 74 4
48 76 5
48 77 0
48 78 4
48 79 4
48 80 2
48 81 7
48 84 3
48 85 4
48 86 2
48 88 2
48 90 3
48 91 0
48 92 6
48 93 7
48 94 7
48 100 3
49 50 2
49 51 9
49 52 6
49 56 9
49 59 0
49 62 8
49 64 2
49 67 6
49 70 3
49 72 7
49 75 3
49 83 5
49 89 6
49 90 7
49 91 3
49 93 1
49 94 2
49 95 2
49 96 2
49 97 1
49 99 2
50 51 2
50 53 9
50 57 8
50 58 7
50 62 0
50 63 6
50 66 5
50 67 5
50 72 9
50 74 6
50 75 7
50 77 6
50 83 8
50 84 7
50 89 2
50 92 6
50 94 1
50 96 5
50 99 6
51 52 1
51 54 5
51 55 1
51 59 1
51 60 8
51 61 0
51 64 4
51 65 4
51 66 1
51 67 2
51 70 4
51 71 7
51 73 7
51 74 5
51 76 2
51 78 1
51 80 9
51 83 9
51 84 4
51 86 8
51 87 7
51 88 4
51 90 4
51 91 9
51 92 0
51 93 7
51 96 1
51 97 2
51 99 8
51 100 6
52 54 6
52 55 0
52 56 6
52 58 0
52 59 6
52 63 3
52 64 4
52 66 8
52 67 1
52 68 2
52 69 3
52 70 1
52 72 5
52 75 5
52 76 3
52 78 1
52 80 1
52 83 3
52 84 4
52 90 3
52 92 9
52 93 3
52 94 6
52 95 9
52 98 8
52 99 8
52 100 6
53 55 6
53 62 9
53 64 0
53 66 0
53 68 6
53 73 8
53 75 6
53 76 5
53 78 2
53 79 8
53 81 0
53 83 4
53 84 6
53 86 3
53 87 9
53 88 5
53 89 4
53 90 4
53 91 5
53 95 8
53 97 5
53 98 6
53 100 4
54 55 1
54 56 3
54 61 8
54 62 8
54 63 7
54 64 4
54 66 3
54 68 2
54 69 5
54 72 9
54 74 4
54 76 9
54 79 4
54 84 0
54 85 4
54 86 7
54 87 3
54 95 8
54 100 2
55 56 3
55 59 8
55 60 1
55 61 7
55 64 9
55 66 5
55 70 1
55 73 8
55 77 6
55 80 3
55 81 6
55 82 5
55 83 2
55 86 2
55 87 8
55 88 8
55 90 8
55 93 2
55 96 9
55 98 9
55 99 6
55 100 0
56 58 6
56 61 8
56 63 9
56 71 4
56 73 4
56 74 3
56 75 3
56 76 7
56 79 9
56 80 2
56 84 6
56 85 7
56 88 3
56 89 5
56 90 7
56 92 5
56 94 0
56 95 8
56 100 2
57 59 9
57 66 9
57 68 0
57 69 4
57 71 0
57 72 7
57 75 5
57 77 4
57 78 4
57 79 6
57 80 4
57 83 6
57 85 6
57 86 0
57 88 7
57 89 3
57 91 1
57 96 6
57 100 6
58 59 9
58 61 4
58 63 0
58 64 5
58 65 8
58 67 5
58 71 6
58 72 1
58 73 3
58 74 3
58 77 9
58 79 5
58 81 5
58 82 9
58 83 5
58 84 7
58 87 7
58 88 0
58 89 3
58 92 3
58 93 2
58 95 4
58 96 1
58 97 9
58 98 2
58 100 0
59 62 6
59 63 8
59 64 6
59 66 1
59 68 9
59 69 3
59 70 0
59 73 9
59 74 6
59 77 6
59 78 8
59 79 8
59 80 7
59 81 8
59 82 8
59 84 1
59 93 4
59 97 6
59 100 9
60 61 6
60 63 8
60 64 6
60 66 7
60 67 9
60 68 8
60 69 7
60 71 3
60 72 4
60 73 4
60 75 9
60 76 6
60 80 2
60 81 7
60 82 1
60 83 7
60 84 6
60 86 4
60 88 1
60 90 6
60 93 8
60 94 5
60 97 3
60 98 4
60 99 2
61 62 9
61 64 9
61 66 1
61 67 0
61 68 1
61 69 5
61 73 8
61 76 5
61 77 0
61 80 4
61 82 5
61 83 4
61 85 5
61 86 3
61 90 2
61 91 6
61 92 6
61 93 6
61 94 8
61 95 6
61 96 4
61 97 5
61 98 0
61 100 6
62 63 9
62 64 4
62 65 7
62 67 8
62 68 3
62 69 5
62 71 4
62 73 4
62 74 6
62 75 1
62 79 3
62 80 2
62 86 1
62 87 4
62 88 1
62 89 4
62 91 7
62 92 1
62 95 4
62 98 9
62 100 0
63 64 2
63 65 1
63 74 1
63 76 9
63 78 4
63 79 0
63 80 0
63 87 3
63 88 6
63 90 4
63 91 9
63 93 5
63 95 5
63 96 5
63 98 4
63 99 7
63 100 9
64 68 6
64 69 4
64 71 4
64 73 2
64 74 5
64 75 2
64 76 1
64 78 2
64 80 0
64 82 6
64 83 8
64 85 8
64 87 3
64 88 6
64 89 3
64 90 3
64 91 2
64 92 7
64 93 5
64 94 1
64 95 4
64 97 9
64 98 6
65 66 1
65 67 1
65 68 2
65 69 9
65 74 1
65 85 8
65 88 7
65 90 6
65 91 7
65 93 5
65 98 2
65 99 2
65 100 8
66 67 6
66 68 1
66 69 7
66 71 6
66 72 2
66 74 9
66 75 8
66 77 7
66 85 3
66 87 5
66 92 9
66 93 5
66 94 9
66 95 4
66 96 9
66 97 8
66 98 9
66 99 4
67 68 5
67 71 5
67 72 7
67 73 9
67 74 0
67 76 6
67 77 3
67 80 9
67 85 1
67 87 3
67 88 4
67 91 6
67 93 2
67 94 4
67 95 8
67 96 6
67 97 7
67 99 8
68 70 7
68 71 0
68 72 4
68 74 8
68 76 2
68 77 0
68 79 0
68 81 0
68 82 1
68 85 5
68 87 1
68 88 2
68 89 0
68 90 5
68 91 0
68 92 3
68 96 2
68 97 7
68 98 8
68 99 1
69 70 9
69 72 7
69 73 9
69 76 3
69 77 8
69 80 1
69 81 8
69 82 9
69 87 0
69 89 4
69 90 2
69 94 1
69 96 2
69 97 7
69 98 6
69 100 4
70 72 8
70 74 9
70 75 5
70 76 8
70 77 7
70 78 8
70 81 4
70 83 1
70 85 5
70 86 2
70 87 0
70 88 4
70 91 5
70 92 4
70 94 1
70 95 0
70 97 6
70 99 9
71 73 7
71 74 1
71 75 5
71 76 2
71 78 0
71 82 5
71 83 5
71 87 5
71 88 5
71 89 9
71 90 1
71 91 0
71 92 2
71 93 4
71 96 9
71 100 5
72 74 5
72 75 2
72 76 2
72 78 3
72 81 5
72 82 1
72 83 6
72 84 2
72 87 9
72 88 9
72 90 1
72 91 4
72 93 8
72 94 4
72 100 1
73 76 6
73 81 2
73 85 3
73 87 0
73 92 6
73 94 9
73 97 4
73 98 4
73 99 5
73 100 3
74 76 2
74 81 8
74 88 7
74 89 4
74 91 7
74 92 3
74 95 9
74 97 3
74 98 0
74 99 6
75 76 3
75 77 6
75 80 9
75 83 8
75 84 7
75 86 0
75 87 2
75 88 4
75 91 3
75 94 7
75 99 8
75 100 9
76 79 0
76 80 7
76 81 1
76 84 3
76 85 0
76 86 0
76 87 1
76 88 1
76 89 8
76 90 7
76 91 8
76 95 2
76 96 5
76 97 1
76 99 2
76 100 3
77 81 3
77 82 9
77 83 5
77 85 8
77 86 0
77 91 5
77 97 0
77 99 2
77 100 2
78 80 9
78 81 7
78 83 2
78 86 1
78 90 3
78 92 1
78 93 6
78 94 0
78 95 3
78 96 5
78 97 8
78 98 4
78 100 5
79 80 6
79 84 4
79 88 4
79 94 9
79 96 0
79 99 3
80 82 8
80 84 3
80 87 7
80 88 8
80 90 2
