196 533
131 146 1.414
132 133 1.000
132 146 1.000
132 147 1.414
133 134 1.000
133 147 1.000
133 148 1.414
134 135 1.000
134 148 1.000
134 149 1.414
135 136 1.000
135 149 1.000
135 150 1.414
136 137 1.000
136 150 1.000
136 151 1.414
137 138 1.000
137 151 1.000
137 152 1.414
138 139 1.000
138 152 1.000
138 153 1.414
139 153 1.000
140 141 1.000
140 154 1.000
140 155 1.414
141 142 1.000
141 155 1.000
141 156 1.414
142 143 1.000
142 156 1.000
142 157 1.414
143 144 1.000
143 157 1.000
143 158 1.414
144 145 1.000
144 158 1.000
144 159 1.414
145 146 1.000
145 159 1.000
145 160 1.414
146 147 1.000
146 160 1.000
146 161 1.414
147 148 1.000
147 161 1.000
147 162 1.414
148 149 1.000
148 162 1.000
148 163 1.414
149 150 1.000
149 163 1.000
149 164 1.414
150 151 1.000
150 164 1.000
150 165 1.414
151 152 1.000
151 165 1.000
151 166 1.414
152 153 1.000
152 166 1.000
152 167 1.414
153 167 1.000
154 155 1.000
154 168 1.000
154 169 1.414
155 156 1.000
155 169 1.000
155 170 1.414
156 157 1.000
156 170 1.000
156 171 1.414
157 158 1.000
157 171 1.000
157 172 1.414
158 159 1.000
158 172 1.000
158 173 1.414
159 160 1.000
159 173 1.000
159 174 1.414
160 161 1.000
160 174 1.000
160 175 1.414
161 162 1.000
161 175 1.000
161 176 1.414
162 163 1.000
162 176 1.000
162 177 1.414
163 164 1.000
163 177 1.000
163 178 1.414
164 165 1.000
164 178 1.000
164 179 1.414
165 166 1.000
165 179 1.000
165 180 1.414
166 167 1.000
166 180 1.000
166 181 1.414
167 181 1.000
168 169 1.000
168 182 1.000
168 183 1.414
169 170 1.000
169 183 1.000
169 184 1.414
170 171 1.000
170 184 1.000
170 185 1.414
171 172 1.000
171 185 1.000
171 186 1.414
172 173 1.000
172 186 1.000
172 187 1.414
173 174 1.000
173 187 1.000
173 188 1.414
174 175 1.000
174 188 1.000
174 189 1.414
175 176 1.000
175 189 1.000
175 190 1.414
176 177 1.000
176 190 1.000
176 191 1.414
177 178 1.000
177 191 1.000
177 192 1.414
178 179 1.000
178 192 1.000
178 193 1.414
179 180 1.000
179 193 1.000
179 194 1.414
180 181 1.000
180 194 1.000
180 195 1.414
181 195 1.000
182 183 1.000
183 184 1.000
184 185 1.000
185 186 1.000
186 187 1.000
187 188 1.000
188 189 1.000
189 190 1.000
190 191 1.000
191 192 1.000
192 193 1.000
193 194 1.000
194 195 1.000
